# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	glass	in-ID	
	good	in-ID	
	government	in-ID	
	governor	in-ID	
	great	in-ID	
	greater	in-ID	
	ground	in-ID	
	group	in-ID	
	grow	in-ID	
	growth	in-ID	
	gun	in-ID	
	hair	in-ID	
	half	in-ID	
	hall	in-ID	
	hand	in-ID	
	hang	in-ID	
	happen	in-ID	
	hard	in-ID	
	have	in-ID	
	head	in-ID	
	hear	in-ID	
	heart	in-ID	
	help	in-ID	
	here	in-ID	
	herself	in-ID	
	high	in-ID	
	higher	in-ID	
	hill	in-ID	
	himself	in-ID	
	history	in-ID	
	hit	in-ID	
	hold	in-ID	
	home	in-ID	
	hope	in-ID	
	horse	in-ID	
	hospital	in-ID	
	hot	in-ID	
	hotel	in-ID	
	hour	in-ID	
	house	in-ID	
	how	in-ID	
	however	in-ID	
	human	in-ID	
	hundred	in-ID	
	husband	in-ID	
	idea	in-ID	
	image	in-ID	
	immediately	in-ID	
	importance	in-ID	
	important	in-ID	
	improve	in-ID	
	inch	in-ID	
	include	in-ID	
	including	in-ID	
	increase	in-ID	
	indeed	in-ID	
	indicate	in-ID	
	individual	in-ID	
	industrial	in-ID	
	influence	in-ID	
	information	in-ID	
	instance	in-ID	
	instead	in-ID	
	institution	in-ID	
	interact	in-ID	
	interest	in-ID	
	international	in-ID	
	into	in-ID	
	involve	in-ID	
	issue	in-ID	
	item	in-ID	
	itself	in-ID	
	job	in-ID	
	join	in-ID	
	just	in-ID	
	keep	in-ID	
	kid	in-ID	
	kill	in-ID	
	kind	in-ID	
kalo	klo	in-ID	
	know	in-ID	
	knowledge	in-ID	
	labor	in-ID	
	lady	in-ID	
	land	in-ID	
	language	in-ID	
	large	in-ID	
	larger	in-ID	
	last	in-ID	
	late	in-ID	
	later	in-ID	
	latter	in-ID	
	law	in-ID	
	lay	in-ID	
	leach	in-ID	
	lead	in-ID	
	leader	in-ID	
	learn	in-ID	
	least	in-ID	
	leave	in-ID	
	leg	in-ID	
	length	in-ID	
	less	in-ID	
	let	in-ID	
	letter	in-ID	
	level	in-ID	
	lie	in-ID	
	life	in-ID	
	light	in-ID	
	like	in-ID	
	likely	in-ID	
	limit	in-ID	
	line	in-ID	
	list	in-ID	
	listen	in-ID	
	literature	in-ID	
	little	in-ID	
	live	in-ID	
	local	in-ID	
	long	in-ID	
	longer	in-ID	
	look	in-ID	
	lose	in-ID	
	loss	in-ID	
	lot	in-ID	
	love	in-ID	
	low	in-ID	
	machine	in-ID	
	maintain	in-ID	
	major	in-ID	
	make	in-ID	
	man	in-ID	
	manager	in-ID	
	manner	in-ID	
	many	in-ID	
	march	in-ID	
	mark	in-ID	
	market	in-ID	
	marriage	in-ID	
	marry	in-ID	
	material	in-ID	
	matter	in-ID	
	may	in-ID	
	maybe	in-ID	
	mean	in-ID	
	meaning	in-ID	
	measure	in-ID	
	medical	in-ID	
	meet	in-ID	
	meeting	in-ID	
	member	in-ID	
	mention	in-ID	
	merely	in-ID	
	method	in-ID	
	might	in-ID	
	mile	in-ID	
	military	in-ID	
	million	in-ID	
	mind	in-ID	
	minute	in-ID	
	model	in-ID	
	modern	in-ID	
	moment	in-ID	
	money	in-ID	
	month	in-ID	
	moral	in-ID	
	more	in-ID	
	morning	in-ID	
	most	in-ID	
	mother	in-ID	
	mouth	in-ID	
	move	in-ID	
	movement	in-ID	
	much	in-ID	
	music	in-ID	
	must	in-ID	
	myself	in-ID	
	name	in-ID	
	nation	in-ID	
	national	in-ID	
	natural	in-ID	
	nature	in-ID	
	near	in-ID	
	nearly	in-ID	
	necessary	in-ID	
	need	in-ID	
	never	in-ID	
	new	in-ID	
	next	in-ID	
	night	in-ID	
	none	in-ID	
	nor	in-ID	
	normal	in-ID	
	not	in-ID	
	note	in-ID	
	nothing	in-ID	
	now	in-ID	
	number	in-ID	
	object	in-ID	
	obtain	in-ID	
	occur	in-ID	
	off	in-ID	
	offer	in-ID	
	office	in-ID	
	officer	in-ID	
	often	in-ID	
	oil	in-ID	
	old	in-ID	
	once	in-ID	
	one	in-ID	
	only	in-ID	
	open	in-ID	
	operate	in-ID	
	operation	in-ID	
	opinion	in-ID	
	opportunity	in-ID	
	order	in-ID	
	organization	in-ID	
	other	in-ID	
	out	in-ID	
	over	in-ID	
	own	in-ID	
	page	in-ID	
	paper	in-ID	
	parent	in-ID	
	park	in-ID	
	part	in-ID	
	particular	in-ID	
	party	in-ID	
	pass	in-ID	
	patient	in-ID	
	pattern	in-ID	
	pay	in-ID	
	peace	in-ID	
	people	in-ID	
	per	in-ID	
	performance	in-ID	
	perhaps	in-ID	
	period	in-ID	
	permit	in-ID	
	person	in-ID	
	personal	in-ID	
	physical	in-ID	
	pick	in-ID	
	picture	in-ID	
	piece	in-ID	
	place	in-ID	
	plan	in-ID	
	plane	in-ID	
	plant	in-ID	
	play	in-ID	
	poem	in-ID	
	poet	in-ID	
	point	in-ID	
	police	in-ID	
	policy	in-ID	
	political	in-ID	
	pool	in-ID	
	population	in-ID	
	position	in-ID	
	possibility	in-ID	
	possible	in-ID	
	power	in-ID	
	practice	in-ID	
	prepare	in-ID	
	present	in-ID	
	president	in-ID	
	press	in-ID	
	pressure	in-ID	
	prevent	in-ID	
	price	in-ID	
	principle	in-ID	
	private	in-ID	
	probably	in-ID	
	problem	in-ID	
	procedure	in-ID	
	process	in-ID	
	produce	in-ID	
	product	in-ID	
	production	in-ID	
	program	in-ID	
	project	in-ID	
	prove	in-ID	
	provide	in-ID	
	public	in-ID	
	publish	in-ID	
	pull	in-ID	
	purpose	in-ID	
	put	in-ID	
	quality	in-ID	
	question	in-ID	
	quite	in-ID	
	radio	in-ID	
